id	name	price
0	Kábeltechnika	2000
1	Munkaerő	65000
2	Szállítás	250
3	SM57 hangszermikrofon	2000
4	SM58 énekmikrofon	2000
5	sE V7 énekmikrofon	2000
6	Mikrofonállvány	750
7	DI boksz	2000
8	48 csatornás keverő	25000
9	LVX12 hangfal	9600
10	Hangfal állvány	2500
11	URH mikrofon szett (4 egység)	8000
12	Kábeltechnika	2000
13	Rode Wireless PRO	3000
14	UMC204HD hangkártya	1250
15	Mérőszett	1000
16	18 csatornás keverő	8000
17	Rode M5 térmikrofon	2000
18	Blackmagic ATEM Mini Pro ISO	6500
19	Canon EOS R + konverter	8000
20	Canon EOS 250D + objektív	6000
21	Objektív	2000
22	Blackmagic Camera Converter	5000
23	Blackmagic BiDi Converter SDI-HDMI	1000
24	Blackmagic DVI extender	8000
25	ChamSys MagicQ Magic DMX + laptop	12000
26	Contest MiniCube 6TCb	8000
27	Robert Juliat 714SX	3500
28	Dimmer	0
29	Martin Mac 2000 Wash	4000
30	Fényállvány	2500
31	Bejátszó laptop	6000
